Postal Code,Borough,Neighborhood,Latitude,Longitude
M4E,East Toronto,The Beaches,43.6784,-79.2941
M4K,East Toronto,"The Danforth West, Riverdale",43.6803,-79.3538
M4L,East Toronto,"India Bazaar, The Beaches West",43.6693,-79.3155
M4M,East Toronto,Studio District,43.6561,-79.3406
M4N,Central Toronto,Lawrence Park,43.7301,-79.3935
M4P,Central Toronto,Davisville North,43.7135,-79.3887
M4R,Central Toronto,"North Toronto West, Lawrence Park",43.7143,-79.4065
M4S,Central Toronto,Davisville,43.702,-79.3853
M4T,Central Toronto,"Moore Park, Summerhill East",43.6899,-79.3853
M4V,Central Toronto,"Summerhill West, Rathnelly, South Hill, Forest Hill SE, Deer Park",43.6861,-79.4025
M4W,Downtown Toronto,Rosedale,43.6827,-79.373
M4X,Downtown Toronto,"St. James Town, Cabbagetown",43.6684,-79.3689
M4Y,Downtown Toronto,Church and Wellesley,43.6656,-79.383
M5A,Downtown Toronto,"Regent Park, Harbourfront",43.6555,-79.3626
M5B,Downtown Toronto,"Garden District, Ryerson",43.6572,-79.3783
M5C,Downtown Toronto,St. James Town,43.6513,-79.3756
M5E,Downtown Toronto,Berczy Park,43.6456,-79.3754
M5G,Downtown Toronto,Central Bay Street,43.6564,-79.38600000000002
M5H,Downtown Toronto,"Richmond, Adelaide, King",43.6496,-79.3833
M5J,Downtown Toronto,"Harbourfront East, Union Station, Toronto Islands",43.62300000000001,-79.3936
M5K,Downtown Toronto,"Toronto Dominion Centre, Design Exchange",43.6469,-79.3823
M5L,Downtown Toronto,"Commerce Court, Victoria Hotel",43.6492,-79.3823
M5N,Central Toronto,Roselawn,43.7113,-79.4195
M5P,Central Toronto,"Forest Hill North & West, Forest Hill Road Park",43.6966,-79.41199999999998
M5R,Central Toronto,"The Annex, North Midtown, Yorkville",43.6736,-79.4035
M5S,Downtown Toronto,"University of Toronto, Harbord",43.6629,-79.3987
M5T,Downtown Toronto,"Kensington Market, Chinatown, Grange Park",43.6541,-79.3978
M5V,Downtown Toronto,"CN Tower, King and Spadina, Railway Lands, Harbourfront West, Bathurst Quay, South Niagara, Island airport",43.6404,-79.3995
M5W,Downtown Toronto,Stn A PO Boxes,43.6437,-79.3787
M5X,Downtown Toronto,"First Canadian Place, Underground city",43.6492,-79.3823
M6G,Downtown Toronto,Christie,43.6683,-79.4205
M6H,West Toronto,"Dufferin, Dovercourt Village",43.6655,-79.4378
M6J,West Toronto,"Little Portugal, Trinity",43.648,-79.4177
M6K,West Toronto,"Brockton, Parkdale Village, Exhibition Place",43.6383,-79.4301
M6P,West Toronto,"High Park, The Junction South",43.6605,-79.4633
M6R,West Toronto,"Parkdale, Roncesvalles",43.6469,-79.4521
M6S,West Toronto,"Runnymede, Swansea",43.6512,-79.4828
M7A,Downtown Toronto,"Queen's Park, Ontario Provincial Government",43.6641,-79.3889
M7Y,East Toronto,"Business reply mail Processing Centre, South Central Letter Processing Plant Toronto",43.7804,-79.2505
